Year,District,Area,Zone,Population,Water_Demand_MLD,Water_Supply_MLD,Supply_Coverage_Percent,Water_Quality_Index,pH,TDS_ppm,Residual_Chlorine_mgL,Turbidity_NTU,Groundwater_Level_m_bgl,Rainfall_mm,Leakage_Percent,Non_Revenue_Water_Percent,Complaint_Count,Pipeline_Length_km,Treatment_Plant,Water_Source,Water_Quality_Status,Priority_Level
2015,South East Delhi,Jamia Nagar,South,102070,21.89,18.18,83.1,76,7.8,273,0.72,0.7,16.7,476,32,39.2,226,40,Haiderpur,Groundwater,Poor,High
2016,South East Delhi,Jamia Nagar,South,103305,19.61,15.99,81.5,76.7,7.8,298,0.75,1.9,17.1,897,31.2,38.9,227,40,Bawana,Yamuna,Poor,High
2017,South East Delhi,Jamia Nagar,South,105247,21.81,17.84,81.8,77.9,7.8,245,0.44,0.8,17.4,738,30.3,33.8,226,40,Chandrawal,Yamuna,Poor,High
2018,South East Delhi,Jamia Nagar,South,107264,23.05,19.78,85.8,79.4,7.4,399,0.41,1,17.7,728,29.5,33.7,201,40,Bhagirathi,Yamuna,Poor,Medium
2019,South East Delhi,Jamia Nagar,South,108746,23.39,20.28,86.7,80.9,8.1,470,0.54,2,18,858,28.9,36.7,203,40,Okhla,Ganga Canal,Moderate,Medium
2020,South East Delhi,Jamia Nagar,South,110248,23.01,19.92,86.6,82.2,7.2,366,0.23,1.6,18.5,773,27.8,34.9,181,40,Okhla,Yamuna,Moderate,Medium
2021,South East Delhi,Jamia Nagar,South,112194,22.34,19.47,87.2,83.3,7.1,485,0.59,0.8,18.7,705,27.1,30.7,192,40,Haiderpur,Groundwater,Moderate,Medium
2022,South East Delhi,Jamia Nagar,South,113779,22.52,20.27,90,84.1,7.2,261,0.32,0.8,19.2,537,26.2,32.3,164,40,Chandrawal,Yamuna,Moderate,Medium
2023,South East Delhi,Jamia Nagar,South,115786,24.15,22.3,92.3,85.2,7.9,222,0.41,2.1,19.5,765,25.6,28.8,156,40,Wazirabad,Ganga Canal,Moderate,Low
2024,South East Delhi,Jamia Nagar,South,117820,22.91,21.47,93.7,86.3,7.6,279,0.49,1.8,19.9,505,25,31.5,131,40,Bawana,Groundwater,Moderate,Low
2025,South East Delhi,Jamia Nagar,South,120223,23.08,21.46,93,87.8,8.1,267,0.39,1.8,20.2,860,23.9,31.3,127,40,Okhla,Groundwater,Moderate,Low
2014,South East Delhi,New Friends Colony,South,103377,20.8,16.85,81,74.4,7.8,211,0.37,1.8,11.7,919,32.9,37.1,250,54,Haiderpur,Yamuna,Poor,High
2015,South East Delhi,New Friends Colony,South,105582,22.08,18.05,81.8,75.6,7.2,509,0.68,1.8,12.2,736,32.3,38.8,240,54,Haiderpur,Yamuna,Poor,High
2016,South East Delhi,New Friends Colony,South,107515,22.99,19.09,83,76.8,7.5,360,0.39,1.2,12.7,558,31.8,38.5,222,54,Chandrawal,Ganga Canal,Poor,High
2017,South East Delhi,New Friends Colony,South,109815,20.91,17.57,84,77.8,7.2,309,0.8,2.5,13,610,30.7,38.6,227,54,Dwarka,Groundwater,Poor,High
2018,South East Delhi,New Friends Colony,South,111303,21.06,18.18,86.3,78.9,7.5,286,0.43,1.2,13.5,593,29.5,33.6,204,54,Bawana,Groundwater,Poor,Medium
2019,South East Delhi,New Friends Colony,South,113298,23.81,20.63,86.7,80.4,7.5,394,0.48,1.3,13.8,744,29,32.7,206,54,Dwarka,Groundwater,Moderate,Medium
2020,South East Delhi,New Friends Colony,South,115168,22.98,19.66,85.5,81.1,7.5,267,0.44,1.5,14.3,508,27.9,32.1,197,54,Wazirabad,Groundwater,Moderate,Medium
2021,South East Delhi,New Friends Colony,South,117191,24.98,22.41,89.7,81.8,7.9,284,0.48,1.9,14.6,574,27.1,31,179,54,Bawana,Groundwater,Moderate,Medium
2022,South East Delhi,New Friends Colony,South,119386,23.72,21.59,91,82.6,7.8,277,0.75,2,14.9,440,25.9,31.5,155,54,Bawana,Yamuna,Moderate,Medium
2023,South East Delhi,New Friends Colony,South,121863,24.31,21.82,89.7,83.8,7.7,499,0.29,2.3,15.3,778,25.1,28.2,166,54,Bawana,Ganga Canal,Moderate,Medium
2024,South East Delhi,New Friends Colony,South,123645,25.32,22.84,90.2,84.9,8,358,0.79,0.5,15.7,786,24.2,28.3,149,54,Dwarka,Groundwater,Moderate,Medium
2025,South East Delhi,New Friends Colony,South,125425,24.45,22.34,91.4,86.1,7.6,232,0.25,0.9,16,626,23.3,29.4,137,54,Bawana,Groundwater,Moderate,Medium
2014,South East Delhi,Sunlight Colony,South,100114,20.32,16.14,79.5,80.4,7.9,415,0.38,1.1,15.8,903,31.9,39,241,28,Wazirabad,Groundwater,Moderate,High
2015,South East Delhi,Sunlight Colony,South,101779,19.79,16.26,82.2,81.1,7.2,512,0.45,2.4,16.1,449,30.9,35.3,224,28,Bhagirathi,Yamuna,Moderate,High
2016,South East Delhi,Sunlight Colony,South,103545,22.19,18.02,81.2,82.2,8.1,436,0.73,0.7,16.4,773,29.8,33.6,236,28,Chandrawal,Groundwater,Moderate,High
2017,South East Delhi,Sunlight Colony,South,105801,21.67,18.33,84.6,83.3,7.7,286,0.52,1.3,16.8,591,29.1,35.8,209,28,Dwarka,Groundwater,Moderate,High
2018,South East Delhi,Sunlight Colony,South,107089,22.85,19.26,84.3,84.4,8,422,0.41,0.5,17.1,578,28.2,35.8,202,28,Dwarka,Groundwater,Moderate,High
2019,South East Delhi,Sunlight Colony,South,108930,21.96,19.17,87.3,85.1,7.1,209,0.33,0.8,17.4,536,27.5,30.7,191,28,Dwarka,Groundwater,Moderate,Medium
2020,South East Delhi,Sunlight Colony,South,111083,22.8,19.75,86.6,85.9,7.5,391,0.26,1.5,17.9,546,26.7,31.9,178,28,Okhla,Yamuna,Moderate,Medium
2021,South East Delhi,Sunlight Colony,South,112720,22.39,19.69,87.9,86.9,7.8,421,0.4,2.4,18.2,907,25.6,28.7,166,28,Bhagirathi,Ganga Canal,Moderate,Medium
2022,South East Delhi,Sunlight Colony,South,114491,22.28,19.87,89.2,87.7,8,360,0.22,0.5,18.4,864,24.6,30.1,161,28,Bawana,Groundwater,Moderate,Medium
2023,South East Delhi,Sunlight Colony,South,116709,24.13,21.76,90.2,88.9,7.7,194,0.58,1.3,18.8,969,23.8,28.5,153,28,Chandrawal,Groundwater,Good,Medium
2024,South East Delhi,Sunlight Colony,South,119028,24.93,23.21,93.1,90.1,8.1,346,0.46,1.6,19.1,438,23.1,30.5,128,28,Bhagirathi,Yamuna,Good,Low
2025,South East Delhi,Sunlight Colony,South,120947,22.93,21.34,93.1,91.2,7.2,316,0.5,1,19.6,804,22.4,25.7,132,28,Chandrawal,Ganga Canal,Good,Low
2014,South East Delhi,Madanpur Khadar,South,98237,21.4,16.76,78.3,79,7.1,269,0.66,1,11.2,457,28.6,32.5,241,24,Chandrawal,Groundwater,Poor,High
2015,South East Delhi,Madanpur Khadar,South,100237,21.01,17.41,82.8,79.7,7.3,472,0.26,1.2,11.6,905,27.8,35.4,211,24,Wazirabad,Ganga Canal,Poor,High
2016,South East Delhi,Madanpur Khadar,South,102422,21.11,17.24,81.7,80.8,7.5,215,0.58,1.5,12,780,27.1,31.2,208,24,Okhla,Ganga Canal,Moderate,High
2017,South East Delhi,Madanpur Khadar,South,104621,21.86,18.5,84.6,82.1,8.1,380,0.43,1.6,12.2,718,26.4,31.2,196,24,Bhagirathi,Yamuna,Moderate,High
2018,South East Delhi,Madanpur Khadar,South,106754,22.01,19.01,86.4,82.9,7.8,188,0.3,2.2,12.5,505,25.6,30.4,179,24,Bhagirathi,Yamuna,Moderate,Medium
2019,South East Delhi,Madanpur Khadar,South,108066,21.03,18.46,87.8,83.7,7.8,209,0.2,1.6,12.9,730,24.4,29.8,174,24,Haiderpur,Groundwater,Moderate,Medium
2020,South East Delhi,Madanpur Khadar,South,109377,21.98,19.53,88.9,84.9,8,293,0.52,1.9,13.4,966,23.8,27.9,155,24,Bawana,Yamuna,Moderate,Medium
2021,South East Delhi,Madanpur Khadar,South,111362,21.62,19.39,89.7,86.1,7.8,226,0.61,0.4,13.8,784,22.9,29.9,143,24,Wazirabad,Ganga Canal,Moderate,Medium
2022,South East Delhi,Madanpur Khadar,South,113001,23.26,21.23,91.3,87,7.6,351,0.48,1,14.1,730,22,25.3,131,24,Bhagirathi,Ganga Canal,Moderate,Medium
2023,South East Delhi,Madanpur Khadar,South,115354,22.41,19.94,89,87.9,7.8,224,0.73,2.5,14.5,627,20.9,28.3,150,24,Chandrawal,Groundwater,Moderate,Medium
2024,South East Delhi,Madanpur Khadar,South,116954,24.22,22.71,93.8,89.1,7.7,352,0.6,0.7,14.9,938,20.3,25.6,126,24,Bhagirathi,Groundwater,Good,Low
2025,South East Delhi,Madanpur Khadar,South,118473,22.87,21.45,93.8,90,8,464,0.56,2.4,15.2,898,19.6,23.7,119,24,Bhagirathi,Ganga Canal,Good,Low
2014,South East Delhi,Tughlakabad,South,104063,21.32,16.96,79.5,80.1,7.5,427,0.37,0.6,11.2,716,23.8,27.4,212,36,Bawana,Ganga Canal,Moderate,High
2015,South East Delhi,Tughlakabad,South,105839,20.39,16.19,79.4,81.3,8.1,201,0.71,1.4,11.4,971,23.2,30,215,36,Dwarka,Ganga Canal,Moderate,High
2016,South East Delhi,Tughlakabad,South,108118,21.86,17.59,80.4,82.3,7.3,320,0.75,1.6,11.7,545,22,27.1,195,36,Okhla,Groundwater,Moderate,High
2017,South East Delhi,Tughlakabad,South,109512,22.25,18.54,83.3,82.9,7.6,274,0.66,0.7,12,451,21.1,27.4,186,36,Dwarka,Ganga Canal,Moderate,High
2018,South East Delhi,Tughlakabad,South,110925,22.51,19.17,85.1,84.3,7.2,280,0.41,1.4,12.5,937,20.4,27.5,176,36,Dwarka,Yamuna,Moderate,Medium
2019,South East Delhi,Tughlakabad,South,112725,24.02,20.78,86.5,85.4,8.1,321,0.72,1.5,12.8,530,19.6,26.5,160,36,Dwarka,Ganga Canal,Moderate,Medium
2020,South East Delhi,Tughlakabad,South,114895,21.75,19.28,88.6,86.5,7.7,240,0.45,0.3,13,751,18.9,25.1,145,36,Bhagirathi,Groundwater,Moderate,Medium
2021,South East Delhi,Tughlakabad,South,116684,23.82,21.15,88.8,87.9,7.3,259,0.25,1.2,13.3,481,17.8,22.6,139,36,Bhagirathi,Yamuna,Moderate,Medium
2022,South East Delhi,Tughlakabad,South,118265,22.96,20.31,88.5,88.6,7.3,200,0.59,0.8,13.5,682,17,23.4,145,36,Haiderpur,Yamuna,Good,Medium
2023,South East Delhi,Tughlakabad,South,119819,22.89,20.57,89.9,89.2,7.3,426,0.7,2,13.8,736,15.9,21,129,36,Haiderpur,Groundwater,Good,Medium
2024,South East Delhi,Tughlakabad,South,121580,25.82,24.17,93.6,90.4,7.7,382,0.38,1.8,14,919,14.8,18,100,36,Wazirabad,Yamuna,Good,Low
2025,South East Delhi,Tughlakabad,South,123480,23.55,22.39,95.1,91.2,8,454,0.48,2,14.5,821,14,17.6,79,36,Dwarka,Groundwater,Good,Low
2014,South East Delhi,Harkesh Nagar,South,97820,19.04,15.48,81.3,77.5,7.6,203,0.33,0.7,11.8,442,23.8,31.3,208,25,Chandrawal,Yamuna,Poor,High
2015,South East Delhi,Harkesh Nagar,South,99713,19.83,15.92,80.3,78.9,7.3,329,0.33,1.9,12.1,804,22.7,26.1,199,25,Wazirabad,Groundwater,Poor,High
2016,South East Delhi,Harkesh Nagar,South,101430,21.44,17.87,83.4,80.1,7.6,292,0.4,2.4,12.4,904,21.6,26.8,187,25,Dwarka,Ganga Canal,Moderate,High
2017,South East Delhi,Harkesh Nagar,South,103027,19.92,16.72,83.9,81.4,8,394,0.58,1.3,12.6,908,20.8,25.4,185,25,Bhagirathi,Yamuna,Moderate,High
2018,South East Delhi,Harkesh Nagar,South,104894,20.16,16.76,83.1,82.3,7.3,493,0.6,0.3,13,977,19.9,27.1,170,25,Dwarka,Groundwater,Moderate,High
2019,South East Delhi,Harkesh Nagar,South,106547,21.45,18.74,87.3,83.6,8.1,418,0.69,2.3,13.4,716,18.9,24.4,156,25,Bhagirathi,Groundwater,Moderate,Medium
2020,South East Delhi,Harkesh Nagar,South,108004,23.06,19.67,85.3,84.7,7.9,443,0.61,1,13.6,522,17.9,24.5,152,25,Bawana,Yamuna,Moderate,Medium
2021,South East Delhi,Harkesh Nagar,South,109829,21.74,19.5,89.7,85.9,7.8,513,0.28,2,14,708,17.3,23.9,140,25,Haiderpur,Groundwater,Moderate,Medium
2022,South East Delhi,Harkesh Nagar,South,111761,24.04,21.75,90.5,87,7.7,322,0.26,0.5,14.4,441,16.2,22.3,131,25,Haiderpur,Groundwater,Moderate,Medium
2023,South East Delhi,Harkesh Nagar,South,113452,22.22,19.96,89.8,88.2,7.3,239,0.45,2.3,14.8,851,15.5,21.5,126,25,Chandrawal,Groundwater,Good,Medium
2024,South East Delhi,Harkesh Nagar,South,115781,24.53,22.11,90.1,89.5,7.6,316,0.53,1.3,15,808,14.8,18.9,121,25,Dwarka,Ganga Canal,Good,Medium
2025,South East Delhi,Harkesh Nagar,South,118247,25.02,23.38,93.5,90.9,7.2,197,0.33,1.4,15.4,733,14.3,17.8,96,25,Okhla,Yamuna,Good,Low
2014,South East Delhi,Molarband,South,102828,20.96,16.38,78.1,80.2,8,368,0.57,1.1,15.4,683,24.1,29.5,226,22,Chandrawal,Ganga Canal,Moderate,High
2015,South East Delhi,Molarband,South,104878,20.84,17.2,82.5,81.3,8.2,355,0.41,2.2,15.7,659,23.6,27,208,22,Wazirabad,Groundwater,Moderate,High
2016,South East Delhi,Molarband,South,106864,21.61,17.57,81.3,82.5,8,472,0.26,0.8,15.9,916,22.4,26,203,22,Bhagirathi,Ganga Canal,Moderate,High
2017,South East Delhi,Molarband,South,108613,22.6,19,84.1,83.9,8,361,0.8,0.4,16.2,515,21.5,24.8,190,22,Bhagirathi,Groundwater,Moderate,High
2018,South East Delhi,Molarband,South,109951,22.4,18.88,84.3,84.9,7.2,308,0.77,1.3,16.5,455,20.3,25.7,168,22,Bawana,Yamuna,Moderate,High
2019,South East Delhi,Molarband,South,111652,21.83,19.09,87.4,85.6,7,384,0.56,1.7,16.7,500,19.3,26.1,145,22,Haiderpur,Yamuna,Moderate,Medium
2020,South East Delhi,Molarband,South,113111,21.98,19.6,89.2,86.3,7.9,374,0.21,1.1,17.2,531,18.4,22,134,22,Bhagirathi,Yamuna,Moderate,Medium
2021,South East Delhi,Molarband,South,114705,23.38,21.1,90.3,87.3,7.9,511,0.36,2.4,17.5,497,17.6,21,119,22,Bawana,Groundwater,Moderate,Medium
2022,South East Delhi,Molarband,South,117036,24.59,22.04,89.6,88.6,7,180,0.56,0.3,17.8,491,16.6,20.2,135,22,Bhagirathi,Yamuna,Good,Medium
2023,South East Delhi,Molarband,South,119489,25.04,22.97,91.7,89.8,7.4,293,0.45,2,18.1,481,16,20.1,119,22,Dwarka,Yamuna,Good,Medium
2024,South East Delhi,Molarband,South,121268,24.4,22.8,93.4,91.3,7.2,472,0.53,0.9,18.5,966,15,21.3,89,22,Chandrawal,Groundwater,Good,Low
2025,South East Delhi,Molarband,South,123711,24.51,22.71,92.6,92.1,7.2,244,0.59,2.3,18.9,589,14.2,20.1,94,22,Chandrawal,Groundwater,Good,Low
2014,South East Delhi,Kalindi Kunj,South,103743,21.43,16.97,79.2,78.1,7.7,183,0.32,0.6,13.5,607,30.9,34.1,240,43,Haiderpur,Groundwater,Poor,High
2015,South East Delhi,Kalindi Kunj,South,105943,21.43,17.41,81.2,78.8,7.3,380,0.64,2.3,13.8,886,29.8,37.1,223,43,Chandrawal,Yamuna,Poor,High
2016,South East Delhi,Kalindi Kunj,South,107230,23.27,19.57,84.1,79.6,7.8,272,0.37,0.8,14.2,913,28.9,32.6,213,43,Haiderpur,Ganga Canal,Poor,High
2017,South East Delhi,Kalindi Kunj,South,108726,22.85,19.36,84.7,80.7,7.2,260,0.6,1.8,14.4,447,28.1,32.4,207,43,Chandrawal,Yamuna,Moderate,High
2018,South East Delhi,Kalindi Kunj,South,110561,21.7,18.71,86.2,82.1,8.1,292,0.6,2.2,14.8,791,27.1,35,199,43,Haiderpur,Ganga Canal,Moderate,Medium
2019,South East Delhi,Kalindi Kunj,South,112287,24.18,20.42,84.5,83,7.1,357,0.78,1.1,15.1,856,26.4,31.4,200,43,Chandrawal,Groundwater,Moderate,High
2020,South East Delhi,Kalindi Kunj,South,114064,21.82,18.71,85.8,83.7,7.6,213,0.55,2.1,15.5,744,25.3,32.5,178,43,Haiderpur,Groundwater,Moderate,Medium
2021,South East Delhi,Kalindi Kunj,South,116006,24.02,21.16,88.1,85,7.2,421,0.45,0.5,15.7,506,24.7,30.8,175,43,Chandrawal,Groundwater,Moderate,Medium
2022,South East Delhi,Kalindi Kunj,South,118121,23.4,20.86,89.2,86.1,8,438,0.67,1.1,16.2,926,24.2,29.4,152,43,Haiderpur,Ganga Canal,Moderate,Medium
2023,South East Delhi,Kalindi Kunj,South,120381,23.05,21.16,91.8,87.5,7.3,484,0.61,0.3,16.5,653,23.5,29.4,143,43,Okhla,Ganga Canal,Moderate,Medium
2024,South East Delhi,Kalindi Kunj,South,122536,25.78,24.12,93.6,88.9,8.2,339,0.67,0.7,16.8,525,22.9,26.3,121,43,Dwarka,Ganga Canal,Good,Low
2025,South East Delhi,Kalindi Kunj,South,124844,23.74,21.82,91.9,89.7,7.3,269,0.62,1.4,17.1,804,21.9,28.4,141,43,Dwarka,Ganga Canal,Good,Medium
2014,South East Delhi,Ali Village,South,103648,22.6,18.31,81,81.9,7.8,204,0.44,2.1,10.7,615,31.2,34.7,238,45,Okhla,Yamuna,Moderate,High
2015,South East Delhi,Ali Village,South,105013,22.11,17.86,80.8,83.1,8.1,359,0.57,1.1,11,849,30.4,37.7,244,45,Wazirabad,Ganga Canal,Moderate,High
2016,South East Delhi,Ali Village,South,107127,21.54,17.85,82.9,83.8,7.8,269,0.74,1.7,11.3,461,29.5,34.8,213,45,Haiderpur,Ganga Canal,Moderate,High
2017,South East Delhi,Ali Village,South,109097,21.64,18.43,85.2,84.6,7.9,307,0.61,0.5,11.7,880,28.6,32.9,193,45,Okhla,Ganga Canal,Moderate,Medium
2018,South East Delhi,Ali Village,South,111300,22.79,18.96,83.2,85.2,7.4,250,0.41,0.3,12,700,27.5,32,218,45,Wazirabad,Groundwater,Moderate,High
2019,South East Delhi,Ali Village,South,113171,22.42,19.05,85,86.4,7.1,297,0.3,1.2,12.2,893,27,31.2,206,45,Wazirabad,Yamuna,Moderate,High
2020,South East Delhi,Ali Village,South,114635,23.45,20.69,88.2,87.6,7.1,516,0.59,0.8,12.6,895,26,31.5,168,45,Dwarka,Yamuna,Moderate,Medium
2021,South East Delhi,Ali Village,South,116989,22.69,20.46,90.2,88.7,7.7,201,0.44,0.8,13,873,25.5,33.1,154,45,Dwarka,Ganga Canal,Good,Medium
2022,South East Delhi,Ali Village,South,119550,24.57,21.65,88.1,89.6,7.4,294,0.46,0.7,13.3,913,24.4,29.1,163,45,Haiderpur,Ganga Canal,Good,Medium
2023,South East Delhi,Ali Village,South,122054,24.14,21.48,89,90.8,7.7,215,0.55,0.6,13.7,444,23.5,28.8,150,45,Bhagirathi,Yamuna,Good,Medium
2024,South East Delhi,Ali Village,South,124109,24.8,22.72,91.6,91.9,7.1,480,0.51,2.5,14.2,834,22.3,28.4,139,45,Okhla,Groundwater,Good,Medium
2025,South East Delhi,Ali Village,South,126569,24.02,22.73,94.6,92.5,7.6,284,0.6,1.8,14.4,591,21.3,28.8,115,45,Okhla,Yamuna,Good,Low
2014,South East Delhi,Hari Nagar Ext,South,105735,20.1,16.26,80.9,80.6,8.2,196,0.34,1.2,11.3,732,31.7,36.1,233,49,Wazirabad,Ganga Canal,Moderate,High
2015,South East Delhi,Hari Nagar Ext,South,107043,21.85,17.66,80.8,81.3,7.5,344,0.53,1.8,11.8,441,31.1,35.6,238,49,Okhla,Groundwater,Moderate,High
2016,South East Delhi,Hari Nagar Ext,South,108572,22.02,18.18,82.5,82,7.7,237,0.65,2.1,12.1,821,30.2,35.2,223,49,Chandrawal,Yamuna,Moderate,High
2017,South East Delhi,Hari Nagar Ext,South,110258,21.97,18.29,83.3,82.9,7.2,212,0.79,1.3,12.5,653,29.6,36.6,208,49,Bhagirathi,Ganga Canal,Moderate,High
2018,South East Delhi,Hari Nagar Ext,South,112438,21.44,18.17,84.7,84.3,8.1,336,0.55,0.5,12.9,445,28.5,34,206,49,Chandrawal,Yamuna,Moderate,High
2019,South East Delhi,Hari Nagar Ext,South,113920,21.59,18.58,86,85.6,7.5,342,0.64,1.4,13.1,524,27.8,32.2,189,49,Bhagirathi,Yamuna,Moderate,Medium
2020,South East Delhi,Hari Nagar Ext,South,115977,24.06,21.32,88.6,86.4,7.8,419,0.75,0.7,13.6,727,26.8,32.9,179,49,Bhagirathi,Yamuna,Moderate,Medium
2021,South East Delhi,Hari Nagar Ext,South,117612,22.55,19.91,88.3,87.2,8,412,0.48,1.7,13.9,740,25.9,30.8,166,49,Haiderpur,Yamuna,Moderate,Medium
2022,South East Delhi,Hari Nagar Ext,South,119167,25.17,22.94,91.1,88.6,8.1,398,0.64,0.7,14.4,794,25.4,28.5,162,49,Bawana,Groundwater,Good,Medium
2023,South East Delhi,Hari Nagar Ext,South,121046,24.48,21.96,89.7,89.5,7.1,287,0.32,1.5,14.6,971,24.4,27.8,149,49,Chandrawal,Yamuna,Good,Medium
2024,South East Delhi,Hari Nagar Ext,South,122998,24.12,21.8,90.4,90.5,7.4,471,0.32,1.9,14.9,951,23.8,27.6,159,49,Wazirabad,Ganga Canal,Good,Medium
2025,South East Delhi,Hari Nagar Ext,South,125543,23.81,21.92,92.1,91.5,7.4,440,0.69,0.5,15.2,716,22.9,27.6,140,49,Wazirabad,Ganga Canal,Good,Low
2014,South East Delhi,Abul Fazal,South,100847,19.79,16.09,81.3,77.9,7.7,316,0.36,1.1,12.9,616,24.8,31.7,220,47,Bhagirathi,Groundwater,Poor,High
2015,South East Delhi,Abul Fazal,South,102807,21.61,17.8,82.3,79.1,8.1,510,0.42,1.8,13.3,807,23.7,27.4,201,47,Bawana,Ganga Canal,Poor,High
2016,South East Delhi,Abul Fazal,South,104123,21.35,17.6,82.4,80.3,7.8,406,0.75,1.5,13.6,880,22.7,26.9,202,47,Dwarka,Groundwater,Moderate,High
2017,South East Delhi,Abul Fazal,South,105600,21.12,17.85,84.5,81.3,8,191,0.33,0.8,13.9,594,22.1,28.8,173,47,Bhagirathi,Ganga Canal,Moderate,High
2018,South East Delhi,Abul Fazal,South,107558,20.76,17.2,82.8,82.7,7.5,393,0.63,0.8,14.4,953,21.1,27.1,188,47,Haiderpur,Groundwater,Moderate,High
2019,South East Delhi,Abul Fazal,South,109561,23.58,20.52,87,83.4,8,229,0.29,0.9,14.8,441,20.1,25.8,166,47,Okhla,Ganga Canal,Moderate,Medium
2020,South East Delhi,Abul Fazal,South,111453,22.81,20.11,88.2,84.2,8,249,0.32,0.5,15.2,594,19.3,27.2,140,47,Okhla,Ganga Canal,Moderate,Medium
2021,South East Delhi,Abul Fazal,South,113593,22.32,20.05,89.8,85.6,7.9,481,0.7,1.3,15.6,826,18.2,24.7,126,47,Haiderpur,Groundwater,Moderate,Medium
2022,South East Delhi,Abul Fazal,South,115078,22.64,20.5,90.6,86.5,7.8,401,0.47,0.4,16,722,17.5,21.8,122,47,Wazirabad,Groundwater,Moderate,Medium
2023,South East Delhi,Abul Fazal,South,116570,22.68,20.3,89.5,87.8,7.8,305,0.71,1.7,16.4,702,16.4,22.6,123,47,Okhla,Groundwater,Moderate,Medium
2024,South East Delhi,Abul Fazal,South,117977,22.52,20.73,92.1,89.2,7.8,440,0.2,0.8,16.6,628,15.6,21.3,111,47,Wazirabad,Yamuna,Good,Low
2025,South East Delhi,Abul Fazal,South,119926,25.5,23.37,91.6,90.3,7.1,235,0.2,2.1,17,728,14.4,19.9,109,47,Chandrawal,Groundwater,Good,Medium
2014,South West Delhi,Dwarka,South,39612,8.78,7.05,80.3,80.7,7.8,270,0.6,1.5,11.5,435,26.2,34,225,31,Haiderpur,Groundwater,Moderate,High
2015,South West Delhi,Dwarka,South,40433,8.61,6.87,79.8,81.7,8.2,414,0.25,0.5,11.7,847,25.3,32.1,213,31,Bhagirathi,Groundwater,Moderate,High
2016,South West Delhi,Dwarka,South,41287,11.18,9.15,81.8,83.2,7.9,505,0.71,0.7,12,769,24.4,30.4,208,31,Wazirabad,Groundwater,Moderate,High
2017,South West Delhi,Dwarka,South,41792,8.58,7.19,83.8,83.9,7.2,241,0.35,1,12.5,615,23.5,27.9,189,31,Bawana,Ganga Canal,Moderate,High
2018,South West Delhi,Dwarka,South,42501,8.82,7.62,86.4,84.9,7.5,407,0.27,1.1,12.7,780,22.4,27.5,169,31,Wazirabad,Yamuna,Moderate,Medium
2019,South West Delhi,Dwarka,South,43134,9.77,8.34,85.3,85.9,7.4,328,0.78,1,13,563,21.2,25.1,180,31,Bawana,Yamuna,Moderate,Medium
2020,South West Delhi,Dwarka,South,43908,11.4,10,87.7,87.4,7.8,366,0.37,1.1,13.3,779,20.2,26.3,154,31,Bawana,Yamuna,Moderate,Medium
2021,South West Delhi,Dwarka,South,44689,10.38,9.22,88.9,88.5,7.4,511,0.49,0.3,13.6,496,19.2,26.6,148,31,Bawana,Groundwater,Good,Medium
2022,South West Delhi,Dwarka,South,45605,11.95,10.47,87.7,89.9,7.1,440,0.68,0.6,14,859,18.6,22.3,158,31,Haiderpur,Groundwater,Good,Medium
2023,South West Delhi,Dwarka,South,46452,12.22,11.15,91.3,90.6,7.6,422,0.58,1.1,14.4,489,17.8,23.8,133,31,Chandrawal,Yamuna,Good,Medium
2024,South West Delhi,Dwarka,South,47051,9.76,8.94,91.6,92.1,7.6,453,0.4,2.2,14.7,683,17.1,21.6,116,31,Chandrawal,Yamuna,Good,Medium
2025,South West Delhi,Dwarka,South,47675,10.38,9.49,91.4,93.5,8,303,0.48,1.8,15.1,882,16.1,23.4,109,31,Bhagirathi,Yamuna,Good,Medium
2014,South West Delhi,Najafgarh,South,39127,10.3,8.34,80.9,77.3,7,451,0.55,2.3,17.2,660,26.2,33.9,225,20,Dwarka,Ganga Canal,Poor,High
2015,South West Delhi,Najafgarh,South,39631,9.52,7.79,81.8,77.9,7.4,343,0.8,1.2,17.6,790,25.2,29.6,212,20,Wazirabad,Ganga Canal,Poor,High
2016,South West Delhi,Najafgarh,South,40367,8.33,6.93,83.1,79,7.8,381,0.44,1,18.1,922,24.4,30.7,193,20,Haiderpur,Yamuna,Poor,High
2017,South West Delhi,Najafgarh,South,40913,10.87,8.98,82.6,79.7,8.1,439,0.51,1.4,18.6,875,23.5,27.6,197,20,Wazirabad,Groundwater,Poor,High
2018,South West Delhi,Najafgarh,South,41594,10.12,8.53,84.3,81.2,7.2,283,0.75,0.6,18.9,979,23,26.4,181,20,Dwarka,Ganga Canal,Moderate,High
2019,South West Delhi,Najafgarh,South,42407,9.16,7.88,86,82.6,8,224,0.61,2.5,19.3,505,22.1,27,181,20,Haiderpur,Ganga Canal,Moderate,Medium
2020,South West Delhi,Najafgarh,South,42944,9.64,8.46,87.8,83.8,7.7,383,0.31,0.7,19.8,872,21.5,27.5,153,20,Bhagirathi,Yamuna,Moderate,Medium
2021,South West Delhi,Najafgarh,South,43546,9.55,8.58,89.9,85,7.5,228,0.38,0.7,20.1,634,20.8,28.5,143,20,Wazirabad,Ganga Canal,Moderate,Medium
2022,South West Delhi,Najafgarh,South,44448,11.97,10.58,88.4,86.5,7.7,486,0.39,2.4,20.5,704,19.7,23.9,151,20,Dwarka,Yamuna,Moderate,Medium
